date,change,changeOverTime,changePercent,close,high,label,low,open,unadjustedVolume,volume,vwap
2017-01-03,0.322217,0.20834536421336158,0.285,113.4101,113.5859,"Jan 3, 17",112.0529,113.0684,28781865,28781865,112.8564
2017-01-04,-0.126933,0.20699328863350863,-0.112,113.2832,113.7617,"Jan 4, 17",113.0196,113.1172,21118116,21118116,113.3846
2017-01-05,0.576082,0.2131314347450395,0.509,113.8593,114.1075,"Jan 5, 17",113.0782,113.1856,22193587,22193587,113.7013
2017-01-06,1.2693,0.2266553869397384,1.115,115.1286,115.3727,"Jan 6, 17",113.7226,114.0253,31751900,31751900,114.9421
2017-01-09,1.0545,0.23789178494220384,0.916,116.1832,116.6128,"Jan 9, 17",115.1579,115.1677,33561948,33561948,116.163
2017-01-10,0.117169,0.2391394449138411,0.101,116.3003,116.564,"Jan 10, 17",115.5094,115.9683,24462051,24462051,116.1488
2017-01-11,0.624903,0.24579753813567,0.537,116.9252,117.101,"Jan 11, 17",115.8024,115.9391,27588593,27588593,116.4249
2017-01-12,-0.488205,0.24059593610190963,-0.418,116.437,116.4858,"Jan 12, 17",115.4216,116.0904,27086220,27086220,116.0128
2017-01-13,-0.205047,0.23841173205250188,-0.176,116.232,116.7983,"Jan 13, 17",116.0074,116.3003,26111948,26111948,116.2539
2017-01-17,0.937354,0.24839833915255022,0.806,117.1693,117.4037,"Jan 17, 17",115.4313,115.5485,34439843,34439843,116.9151
2017-01-18,-0.009763,0.2482949890097245,-0.008,117.1596,117.6575,"Jan 18, 17",116.8862,117.1693,23712961,23712961,117.1886
2017-01-19,-0.205046,0.24610971949492677,-0.175,116.9545,117.2572,"Jan 19, 17",116.5542,116.5835,25597291,25597291,116.9572
2017-01-20,0.214809,0.24839833915255022,0.184,117.1693,117.6087,"Jan 20, 17",116.9102,117.6087,32597892,32597892,117.1743
2017-01-23,0.078113,0.249230467622105,0.067,117.2474,117.9602,"Jan 23, 17",116.9448,117.1693,22050218,22050218,117.2929
2017-01-24,-0.107405,0.24808615779329335,-0.092,117.14,117.267,"Jan 24, 17",116.6811,116.7299,23211038,23211038,117.1248
2017-01-25,1.8649,0.26795708731595413,1.592,119.005,119.2198,"Jan 25, 17",117.4427,117.5794,32586673,32586673,118.6259
2017-01-26,0.058586,0.26858145003446776,0.049,119.0636,119.5518,"Jan 26, 17",118.7316,118.7999,26337576,26337576,119.0377
2017-01-27,0.009764,0.2686848001772935,0.008,119.0733,119.4639,"Jan 27, 17",118.7316,119.2589,20562944,20562944,119.054
2017-01-30,-0.312451,0.2653562862990741,-0.262,118.7609,118.7609,"Jan 30, 17",117.8138,118.0774,30377503,30377503,118.3222
2017-01-31,-0.273396,0.262443303922937,-0.23,118.4875,118.5265,"Jan 31, 17",117.7747,118.2922,49200993,49200993,118.2052
2017-02-01,7.2254,0.33942744020874605,6.098,125.7129,127.4119,"Feb 1, 17",124.014,124.0335,111985040,111985040,125.5252
2017-02-02,-0.214812,0.3371388205511226,-0.171,125.4981,126.3378,"Feb 2, 17",124.7658,124.9562,33710411,33710411,125.3761
2017-02-03,0.537028,0.342860369695181,0.428,126.0351,126.1425,"Feb 3, 17",125.1368,125.2833,24507301,24507301,125.6923
2017-02-06,1.1815,0.3554488432774994,0.937,127.2166,127.4216,"Feb 6, 17",125.8594,126.084,26845924,26845924,127.0154
2017-02-07,1.2107,0.3683494982190747,0.952,128.4274,128.9741,"Feb 7, 17",127.3728,127.4607,38183841,38183841,128.4103
2017-02-08,0.497968,0.37365445039566053,0.388,128.9253,129.1011,"Feb 8, 17",128.1247,128.2516,23004072,23004072,128.5629
2017-02-09,0.931629,0.38358032596848135,0.723,129.8569,129.8815,"Feb 9, 17",128.5821,129.1019,28349859,28349859,129.3912
2017-02-10,-0.294193,0.38044679225662387,-0.227,129.5628,130.3669,"Feb 10, 17",129.4941,129.8962,20065458,20065458,129.7942
2017-02-13,1.1474,0.39267087667557765,0.886,130.7101,131.2299,"Feb 13, 17",130.1806,130.5042,23035421,23035421,130.8965
2017-02-14,1.6965,0.41074649701616417,1.298,132.4066,132.4753,"Feb 14, 17",130.6709,130.8866,33226223,33226223,131.7438
2017-02-15,0.480516,0.415866058214898,0.363,132.8871,133.6324,"Feb 15, 17",132.0144,132.8969,35623100,35623100,132.7971
2017-02-16,-0.161806,0.4141421352139508,-0.122,132.7253,133.2696,"Feb 16, 17",132.2299,133.044,22584555,22584555,132.6344
2017-02-17,0.367742,0.41806091691820524,0.277,133.0931,133.2009,"Feb 17, 17",132.4851,132.4851,22198197,22198197,132.8176
2017-02-21,0.961031,0.42830003931567295,0.722,134.0541,134.1031,"Feb 21, 17",133.348,133.5932,24507156,24507156,133.7757
2017-02-22,0.402065,0.43258427564868196,0.3,134.4562,134.466,"Feb 22, 17",133.4755,133.7893,20836932,20836932,134.0393
2017-02-23,-0.568775,0.42652390851061805,-0.423,133.8874,134.819,"Feb 23, 17",133.6618,134.7209,20788186,20788186,134.0464
2017-02-24,0.127484,0.42788237688281067,0.095,134.0149,134.0149,"Feb 24, 17",132.6616,133.2794,21776585,21776585,133.3607
2017-02-27,0.264775,0.4307037292354113,0.198,134.2797,134.7749,"Feb 27, 17",133.6422,134.4856,20257426,20257426,134.3239
2017-02-28,0.058838,0.4313302228847051,0.044,134.3385,134.7749,"Feb 28, 17",134.0541,134.4268,23482860,23482860,134.3985
